-10 -13
-10 -13
-10 -13
-10 -13
-10 -13
-9 -11.5
-9 -11.5
-9 -11.5
-9 -11.5
-9 -11.5
-8 -10
-8 -10
-8 -10
-8 -10
-8 -10
-7 -8.5
-7 -8.5
-7 -8.5
-7 -8.5
-7 -8.5
-6 -7
-6 -7
-6 -7
-6 -7
-6 -7
-5 -5.5
-5 -5.5
-5 -5.5
-5 -5.5
-5 -5.5
-4 -4
-4 -4
-4 -4
-4 -4
-4 -4
-3 -2.5
-3 -2.5
-3 -2.5
-3 -2.5
-3 -2.5
-2 -1
-2 -1
-2 -1
-2 -1
-2 -1
-1 0.5
-1 0.5
-1 0.5
-1 0.5
-1 0.5
0 2
0 2
0 2
0 2
0 2
1 3.5
1 3.5
1 3.5
1 3.5
1 3.5
2 5
2 5
2 5
2 5
2 5
3 6.5
3 6.5
3 6.5
3 6.5
3 6.5
4 8
4 8
4 8
4 8
4 8
5 9.5
5 9.5
5 9.5
5 9.5
5 9.5
6 11
6 11
6 11
6 11
6 11
7 12.5
7 12.5
7 12.5
7 12.5
7 12.5
8 14
8 14
8 14
8 14
8 14
9 15.5
9 15.5
9 15.5
9 15.5
10 17
